hit_id,smiles,vina_PD-L1,vina_TGF-bR1,dual_score
HIT_0106,N#C[C@]1(F)CCN(c2ccc3c(c2)CN([C@H]2CCc4c(F)cccc4[C@@H]2O)CC3)C1,-7.56,-5.346,-12.905999999999999
HIT_0107,c1cc2c(cc1N1CCCCCCC1)[C@H](Oc1cnn3c1CNCC3)CO2,-7.356,-5.55,-12.905999999999999
HIT_0108,Cc1cccc(-c2ccc3c(n2)N(C(=O)[C@]2(C)CCOC2)CCC3)n1,-7.88,-5.026,-12.905999999999999
HIT_0109,CCc1cccc(C)c1Cc1nc2cc(N3Cc4cccc(C#N)c4C(C)(C)C3)ccc2n1C,-7.5,-5.402,-12.902000000000001
HIT_0110,Cc1ncc(NC(=O)[C@@H]2C[C@H](C)N2[C@H]2CCc3c(F)ccc(C#N)c32)cn1,-7.593,-5.305,-12.898
HIT_0111,Oc1ncc(N2CCOc3cc(N4CCc5c(F)ccc(F)c5C4)ccc32)cc1Cl,-7.713,-5.18,-12.893
HIT_0112,C[C@H]1CC2(CCC2)CN1c1cc(N[C@@H]2CCc3cc(F)ccc32)c(=O)n(C)c1,-7.232,-5.661,-12.893
HIT_0113,Oc1ccc(F)cc1N1CCCC[C@@H](N2Cc3ccc(F)cc3C2)C1,-7.745,-5.146,-12.891
HIT_0114,Cn1ncc2nccc(N3Cc4cccc5c4[C@@H](CCC5)C3)c21,-7.52,-5.366,-12.886
HIT_0115,Cc1c(N2CCc3ccc(F)c(N4CC[C@@](C)(C#N)C4)c3CC2)cnc(O)c1C#N,-7.903,-4.982,-12.885
HIT_0116,Cc1cccc2c1N(C(=O)[C@]1(C)CCN1c1ccc3c(c1F)CCNC3)CC21CC1,-7.041,-5.842,-12.883
HIT_0117,C[C@@H]1C[C@H](Nc2ccc(C(=O)N3CCc4ccc(F)cc4C3)o2)[C@H](C)C1=O,-7.633,-5.244,-12.876999999999999
HIT_0118,Cc1cc(N2CCC3(CC2)OCCc2ccc(F)cc23)nnc1C,-7.385,-5.49,-12.875
HIT_0119,Cc1cccc2c1CN(c1ccc3c(c1)[C@@]1(CCN1)CCO3)CC2,-7.825,-5.047,-12.872
HIT_0120,Cc1ccc2c(c1)[C@@H](N1CCC(=O)c3c(Cl)cccc31)CCN2,-7.281,-5.589,-12.870000000000001
HIT_0121,CC1(C)C[C@@H](Nc2cccc3c2CC3)CCN1c1ccc2c(c1)CNCCC2,-7.531,-5.339,-12.870000000000001
HIT_0122,Oc1ncc(O[C@H]2CCc3c2cccc3N2CCc3c(F)cccc32)cc1Cl,-7.424,-5.441,-12.865
HIT_0123,N#C[C@H]1CCC[C@@H]1NC(=O)c1ccc2c(c1)N(c1cc(F)c(Cl)nn1)CC2,-8.313,-4.549,-12.862000000000002
HIT_0124,O=[S@@](c1cccc(-c2cnc3[nH]nnc3c2)c1)c1cccc2c1CCN2,-7.546,-5.311,-12.857
HIT_0125,C[C@H]1CC[C@H](N2C[C@@H](F)c3ccccc32)CN1c1cccc2c1CCCNC2,-7.913,-4.942,-12.855
HIT_0126,C[C@H]1OCCC[C@H]1C(=O)N1CCOc2ccc(N3CCc4c(O)ccc(F)c4C3)cc21,-7.763,-5.09,-12.853
HIT_0127,Cc1cc(F)ccc1N(C)[C@@H]1CCN[C@H](C(=O)N2CCc3c(F)cc(F)cc32)C1,-7.63,-5.223,-12.853
HIT_0128,Cn1cc(N[C@H]2CC[C@@](C)(C(=O)N3CCc4cccc(F)c4C3)C2)ccc1=O,-7.151,-5.701,-12.852
HIT_0129,C[C@H]1c2ccc(F)cc2CCN1c1scc2c1CCNC2,-7.586,-5.261,-12.847000000000001
HIT_0130,C[C@H]1OCC[C@@]1(C)Nc1cc(-c2nc3cc(F)cnc3o2)ccc1C#N,-7.624,-5.217,-12.841
HIT_0131,Cc1cc(N2CC3(CCN(c4ccc(F)c5c4CCNC5)CC3)C2)ccn1,-7.36,-5.479,-12.839
HIT_0132,Clc1ccc2c(c1)CCN2c1ccc2c(c1)[C@]1(CCC2)COCCN1,-7.48,-5.357,-12.837
HIT_0133,Fc1ccc(F)c(N2CC3(C2)CC2(COC2)C3)c1Oc1ccc2c(n1)NCCC2,-7.443,-5.391,-12.834
HIT_0134,O[C@@H]1Cc2ccc(N3CCCc4ccccc43)cc2C1,-7.794,-5.039,-12.832999999999998
HIT_0135,C[C@H](c1nc2cc(Cl)ccc2[nH]1)N1CCc2cc(F)c(F)cc2C1,-7.447,-5.384,-12.831
HIT_0136,C[C@@H]1[C@@H](O)CCCN1c1cccc(N2CCOc3ccc(F)cc3C2)n1,-7.505,-5.319,-12.824
